customer_id,name,email,address,join_date,loyalty_points,phone_number,age,gender,last_update_time
24,Customer 24,customer24@example.com,945 Phoenix St,2023-02-23 22:45:13,4,+14572447412,49,Male,2024-05-31 04:39:44
25,Customer 25,customer25@example.com,900 Boston St,2022-03-28 21:21:55,2519,+13028439863,33,Other,2024-03-11 11:36:46
26,Customer 26,customer26@example.com,750 Houston St,2022-03-03 04:08:16,566,+18582922854,26,Male,2024-01-17 15:10:26
27,Customer 27,customer27@example.com,970 Phoenix St,2023-05-28 10:38:48,1352,+17433376835,73,Other,2024-04-02 06:58:35
28,Customer 28,customer28@example.com,952 Phoenix St,2022-11-25 15:51:46,1647,+15062092518,43,Other,2024-02-11 03:03:04
29,Customer 29,customer29@example.com,449 Phoenix St,2023-05-20 18:36:18,3698,+12519709079,32,Male,2024-03-13 12:15:56
30,Customer 30,customer30@example.com,603 Phoenix St,2022-09-20 14:22:18,1885,+14527331058,18,Male,2024-01-05 02:01:36
31,Customer 31,customer31@example.com,61 Los Angeles St,2023-07-04 19:06:41,552,+15888749350,73,Female,2024-05-02 13:09:10
32,Customer 32,customer32@example.com,244 Chicago St,2022-02-25 00:52:36,3976,+17215107386,26,Other,2024-04-09 20:08:28
33,Customer 33,customer33@example.com,591 Houston St,2023-12-28 15:14:57,1990,+15369914783,69,Female,2024-04-20 21:15:13
34,Customer 34,customer34@example.com,100 Seattle St,2022-05-28 21:29:53,3531,+13521696479,44,Female,2024-01-19 07:35:24
35,Customer 35,customer35@example.com,56 Seattle St,2023-11-02 23:05:02,806,+12260329455,64,Female,2024-05-21 13:44:23
36,Customer 36,customer36@example.com,255 Los Angeles St,2023-09-14 20:07:33,1558,+14303329764,26,Female,2024-01-22 05:13:50
37,Customer 37,customer37@example.com,474 Los Angeles St,2022-05-23 12:27:53,617,+18198199348,73,Other,2024-02-24 02:06:52
38,Customer 38,customer38@example.com,668 Phoenix St,2022-03-18 01:09:03,120,+16161807235,66,Male,2024-01-10 19:45:31
39,Customer 39,customer39@example.com,498 Houston St,2022-05-10 04:15:49,1751,+15713645169,75,Male,2024-03-19 22:01:36
40,Customer 40,customer40@example.com,3 Houston St,2022-05-08 21:03:30,2172,+15372104909,36,Female,2024-03-14 14:08:33
41,Customer 41,customer41@example.com,803 Phoenix St,2023-06-26 01:24:24,3986,+12664847319,36,Male,2024-05-21 20:24:05
42,Customer 42,customer42@example.com,754 Phoenix St,2022-02-15 10:12:27,499,+15212530587,21,Male,2024-04-22 11:10:32
43,Customer 43,customer43@example.com,515 Boston St,2023-03-30 17:51:34,4350,+12676168421,50,Male,2024-04-02 13:59:43
44,Customer 44,customer44@example.com,71 Phoenix St,2023-10-24 06:10:31,556,+19194983116,33,Female,2024-02-06 02:00:25
45,Customer 45,customer45@example.com,253 Phoenix St,2022-04-04 02:50:54,4870,+16465656446,23,Female,2024-04-20 14:52:47
46,Customer 46,customer46@example.com,579 Phoenix St,2023-05-26 14:19:26,2591,+16014532821,31,Other,2024-04-23 08:06:36
47,Customer 47,customer47@example.com,245 Chicago St,2023-07-11 06:46:58,3242,+16857085221,59,Female,2024-03-02 00:12:10
48,Customer 48,customer48@example.com,952 Boston St,2022-12-22 03:17:01,594,+12040009587,57,Other,2024-03-02 09:29:33
49,Customer 49,customer49@example.com,551 Los Angeles St,2022-03-19 15:47:08,4144,+13139027119,40,Male,2024-01-15 05:25:10
50,Customer 50,customer50@example.com,379 Chicago St,2023-11-14 22:47:07,1292,+18176955680,52,Other,2024-02-17 10:26:52
51,Customer 51,customer51@example.com,827 Seattle St,2022-08-23 23:19:41,4333,+16328567280,70,Other,2024-04-28 18:37:29
52,Customer 52,customer52@example.com,107 Los Angeles St,2022-08-21 12:49:27,2166,+16790729644,24,Other,2024-05-08 19:36:55
53,Customer 53,customer53@example.com,279 Chicago St,2023-03-06 16:50:10,4954,+17199614765,39,Male,2024-01-31 04:26:23
54,Customer 54,customer54@example.com,874 Chicago St,2023-06-18 23:52:31,4140,+14098228320,75,Male,2024-05-03 03:45:47
55,Customer 55,customer55@example.com,434 Boston St,2022-03-13 16:34:05,2266,+12189351213,39,Male,2024-05-03 03:58:47
56,Customer 56,customer56@example.com,166 Seattle St,2023-05-10 20:39:14,3619,+18664416665,45,Other,2024-02-20 20:48:00
57,Customer 57,customer57@example.com,78 Seattle St,2022-01-08 12:15:22,1221,+14343292475,71,Female,2024-01-22 17:22:12
58,Customer 58,customer58@example.com,152 Houston St,2023-03-29 10:45:55,1044,+12179653598,41,Male,2024-04-17 06:57:12
59,Customer 59,customer59@example.com,216 Seattle St,2023-11-30 05:10:11,2044,+14864457210,40,Other,2024-03-10 11:30:42
60,Customer 60,customer60@example.com,998 Phoenix St,2023-11-18 17:27:55,1266,+17311746380,28,Male,2024-03-19 21:51:21
61,Customer 61,customer61@example.com,26 Los Angeles St,2023-11-16 14:47:20,2721,+19655291688,44,Other,2024-03-21 01:25:52
62,Customer 62,customer62@example.com,831 Los Angeles St,2023-11-03 03:19:15,2185,+16978716817,62,Male,2024-05-22 17:36:59
63,Customer 63,customer63@example.com,880 Houston St,2022-10-25 03:05:40,1822,+17152126064,47,Female,2024-01-08 12:28:11
64,Customer 64,customer64@example.com,229 New York St,2022-08-26 01:10:12,1582,+13711398352,35,Male,2024-02-14 04:40:18
65,Customer 65,customer65@example.com,360 Seattle St,2023-08-24 15:51:12,4173,+18011572894,71,Other,2024-02-24 04:49:00
66,Customer 66,customer66@example.com,119 Chicago St,2022-09-15 05:04:51,1462,+18788581213,34,Male,2024-01-06 08:37:40
67,Customer 67,customer67@example.com,445 Chicago St,2022-03-26 04:46:11,2569,+18169264753,50,Male,2024-04-25 20:13:24
68,Customer 68,customer68@example.com,195 Chicago St,2022-10-27 04:33:47,363,+15044209616,18,Other,2024-04-21 23:05:42
69,Customer 69,customer69@example.com,704 Seattle St,2023-12-20 21:58:17,1614,+13564319318,22,Other,2024-04-14 13:22:05
70,Customer 70,customer70@example.com,639 Chicago St,2023-12-17 04:24:46,1020,+19386288288,37,Other,2024-03-05 02:50:37
71,Customer 71,customer71@example.com,419 Chicago St,2022-08-29 05:29:02,3296,+14994487334,53,Male,2024-05-09 11:56:46
72,Customer 72,customer72@example.com,681 Houston St,2022-05-30 00:09:30,1425,+18938583727,37,Female,2024-03-22 15:25:18
73,Customer 73,customer73@example.com,312 Chicago St,2023-03-02 14:17:23,1721,+18141322824,55,Other,2024-01-01 01:53:30
74,Customer 74,customer74@example.com,477 Houston St,2023-05-24 12:35:50,3622,+14901796894,50,Female,2024-03-03 13:47:24
75,Customer 75,customer75@example.com,174 Seattle St,2023-09-09 12:18:00,694,+17513820624,60,Other,2024-05-22 21:49:44
76,Customer 76,customer76@example.com,96 Boston St,2023-04-26 23:51:29,1924,+14889635392,32,Male,2024-03-06 02:05:25
77,Customer 77,customer77@example.com,48 Los Angeles St,2022-04-25 10:52:37,3892,+18920369015,67,Male,2024-01-05 17:49:50
78,Customer 78,customer78@example.com,908 Seattle St,2022-12-20 17:34:21,4715,+17130060268,62,Female,2024-03-21 11:26:06
79,Customer 79,customer79@example.com,250 Los Angeles St,2023-01-19 23:51:30,45,+19990531385,74,Male,2024-03-18 14:31:02
80,Customer 80,customer80@example.com,225 Los Angeles St,2023-08-28 14:48:29,4243,+13995226582,53,Male,2024-03-23 13:19:29
81,Customer 81,customer81@example.com,468 Los Angeles St,2023-12-14 14:52:50,3806,+19162191809,53,Other,2024-01-24 13:34:19
82,Customer 82,customer82@example.com,913 Houston St,2022-09-04 10:51:45,4135,+18127804892,53,Female,2024-05-26 15:43:12
83,Customer 83,customer83@example.com,762 Boston St,2023-11-28 21:10:16,3888,+13933034905,66,Male,2024-01-31 21:43:46
84,Customer 84,customer84@example.com,284 Boston St,2023-10-15 08:10:44,4270,+18376295640,33,Female,2024-05-03 19:43:03
85,Customer 85,customer85@example.com,731 Chicago St,2022-12-08 15:49:10,1920,+13167007513,38,Other,2024-01-16 01:05:54
86,Customer 86,customer86@example.com,155 Los Angeles St,2022-03-04 14:04:35,3137,+14980491761,63,Male,2024-01-27 20:52:11
87,Customer 87,customer87@example.com,418 Chicago St,2022-02-19 21:18:45,4445,+14001129658,21,Male,2024-03-21 13:25:28
88,Customer 88,customer88@example.com,399 Boston St,2023-10-09 22:13:00,4784,+16378856390,74,Other,2024-03-22 14:00:38
89,Customer 89,customer89@example.com,7 Chicago St,2022-10-23 10:48:58,2446,+15236151037,72,Female,2024-04-02 14:53:12
90,Customer 90,customer90@example.com,753 Phoenix St,2023-02-23 01:09:30,4941,+15856070374,49,Male,2024-05-25 03:40:31
91,Customer 91,customer91@example.com,498 New York St,2022-07-31 23:52:58,3185,+17738632686,61,Female,2024-03-25 15:08:34
92,Customer 92,customer92@example.com,861 Houston St,2023-07-17 11:43:09,1045,+14294043548,43,Other,2024-02-02 01:09:51
93,Customer 93,customer93@example.com,28 New York St,2023-03-15 09:01:44,3511,+16877792136,47,Male,2024-05-08 17:48:10
94,Customer 94,customer94@example.com,389 Chicago St,2022-02-09 01:22:24,1733,+13952918745,39,Female,2024-02-20 12:24:58
95,Customer 95,customer95@example.com,975 Boston St,2022-08-05 03:04:45,3453,+17378465261,23,Female,2024-05-26 00:37:11
96,Customer 96,customer96@example.com,553 New York St,2022-01-16 01:19:50,2866,+17257994151,22,Other,2024-05-25 10:42:21
97,Customer 97,customer97@example.com,32 Los Angeles St,2022-02-01 06:27:57,1633,+15604460472,57,Male,2024-05-26 10:58:53
98,Customer 98,customer98@example.com,485 Seattle St,2022-07-05 06:48:00,937,+18717198178,31,Female,2024-01-25 12:13:56
99,Customer 99,customer99@example.com,786 Chicago St,2023-06-28 06:58:19,1374,+18897256597,65,Other,2024-02-19 18:10:55
100,Customer 100,customer100@example.com,839 Los Angeles St,2022-03-30 23:02:50,2548,+16759247893,19,Female,2024-05-31 00:46:22
101,Customer 101,customer101@example.com,930 Houston St,2023-03-24 05:37:44,3249,+12851819913,55,Other,2024-05-11 12:40:01
102,Customer 102,customer102@example.com,249 New York St,2023-10-08 02:58:38,2470,+19946948952,56,Male,2024-05-01 19:09:41
103,Customer 103,customer103@example.com,802 New York St,2023-09-11 10:45:03,2844,+14288123416,60,Female,2024-04-19 21:26:12
104,Customer 104,customer104@example.com,664 Chicago St,2022-02-23 13:26:48,103,+15648899533,70,Female,2024-04-08 05:56:53
105,Customer 105,customer105@example.com,984 Chicago St,2022-03-23 23:23:13,3766,+15037867512,45,Male,2024-03-25 04:21:55
106,Customer 106,customer106@example.com,989 Seattle St,2023-07-24 22:56:09,2212,+18940290691,52,Female,2024-04-11 07:30:57
107,Customer 107,customer107@example.com,846 Seattle St,2022-12-28 01:52:30,4853,+13152750071,72,Male,2024-03-25 13:55:27
108,Customer 108,customer108@example.com,286 Houston St,2023-10-08 05:56:54,1997,+15223271103,54,Other,2024-01-17 19:52:42
109,Customer 109,customer109@example.com,345 New York St,2023-06-03 23:56:09,4049,+15654814605,29,Female,2024-03-14 14:13:05
110,Customer 110,customer110@example.com,817 Chicago St,2022-06-14 18:12:02,2788,+17496091337,56,Other,2024-03-09 21:36:15
111,Customer 111,customer111@example.com,570 New York St,2023-11-15 14:23:24,4232,+16071897791,23,Male,2024-02-23 15:30:17
112,Customer 112,customer112@example.com,501 Phoenix St,2023-07-14 07:09:52,1968,+14966144543,59,Other,2024-03-19 22:05:32
113,Customer 113,customer113@example.com,812 New York St,2023-01-17 05:34:22,762,+13263732197,43,Other,2024-03-28 00:38:41
114,Customer 114,customer114@example.com,680 Phoenix St,2022-07-08 23:32:13,3023,+18327605619,51,Female,2024-02-29 11:01:24
115,Customer 115,customer115@example.com,564 Chicago St,2022-11-27 11:57:57,2882,+15018739003,35,Female,2024-05-24 20:18:39
116,Customer 116,customer116@example.com,124 Seattle St,2022-07-15 06:30:15,1577,+13355268102,65,Other,2024-02-14 18:23:06
117,Customer 117,customer117@example.com,190 Los Angeles St,2023-08-16 00:14:38,1772,+15172282824,35,Other,2024-05-14 00:23:43
118,Customer 118,customer118@example.com,538 Phoenix St,2023-04-03 22:41:47,2318,+16211261115,71,Male,2024-05-27 14:49:32
119,Customer 119,customer119@example.com,370 Los Angeles St,2022-08-19 02:26:03,2476,+16355734053,52,Male,2024-02-14 04:08:54
120,Customer 120,customer120@example.com,998 New York St,2022-08-02 01:32:01,4533,+17549684621,26,Other,2024-01-09 20:07:06
63,Customer 63,customer63@example.com,880 Houston St,2022-10-25 03:05:40,1928,+17152126064,47,Female,2024-01-24 12:28:11
74,Customer 74,customer74@example.com,477 Houston St,2023-05-24 12:35:50,3962,+14901796894,50,Female,2024-03-31 13:47:24
62,Customer 62,customer62@example.com,831 Los Angeles St,2023-11-03 03:19:15,2459,+16978716817,62,Male,2024-06-29 17:36:59
24,Customer 24,customer24@example.com,945 Phoenix St,2023-02-23 22:45:13,233,+14572447412,49,Male,2024-06-13 04:39:44
62,Customer 62,customer62@example.com,831 Los Angeles St,2023-11-03 03:19:15,2318,+16978716817,62,Male,2024-06-08 17:36:59
52,Customer 52,customer52@example.com,107 Los Angeles St,2022-08-21 12:49:27,2303,+16790729644,24,Other,2024-06-18 19:36:55
74,Customer 74,customer74@example.com,477 Houston St,2023-05-24 12:35:50,4073,+14901796894,50,Female,2024-04-22 13:47:24
7,Customer 7,customer7@example.com,748 Houston St,2023-09-19 21:57:41,4568,+16831091576,42,Male,2024-01-28 10:29:37
73,Customer 73,customer73@example.com,312 Chicago St,2023-03-02 14:17:23,1864,+18141322824,55,Other,2024-01-30 01:53:30
32,Customer 32,customer32@example.com,244 Chicago St,2022-02-25 00:52:36,4361,+17215107386,26,Other,2024-04-26 20:08:28
54,Customer 54,customer54@example.com,874 Chicago St,2023-06-18 23:52:31,4545,+14098228320,75,Male,2024-06-20 03:45:47
80,Customer 80,customer80@example.com,225 Los Angeles St,2023-08-28 14:48:29,4740,+13995226582,53,Male,2024-04-16 13:19:29
67,Customer 67,customer67@example.com,445 Chicago St,2022-03-26 04:46:11,2899,+18169264753,50,Male,2024-05-29 20:13:24
57,Customer 57,customer57@example.com,78 Seattle St,2022-01-08 12:15:22,1622,+14343292475,71,Female,2024-02-20 17:22:12
55,Customer 55,customer55@example.com,434 Boston St,2022-03-13 16:34:05,2657,+12189351213,39,Male,2024-06-01 03:58:47
80,Customer 80,customer80@example.com,225 Los Angeles St,2023-08-28 14:48:29,4655,+13995226582,53,Male,2024-04-05 13:19:29
13,Customer 13,customer13@example.com,948 Seattle St,2022-10-22 17:33:43,4768,+17238207270,38,Male,2024-04-20 10:02:52
28,Customer 28,customer28@example.com,952 Phoenix St,2022-11-25 15:51:46,2085,+15062092518,43,Other,2024-03-08 03:03:04
11,Customer 11,customer11@example.com,215 Seattle St,2022-10-15 12:40:24,2409,+19309262590,61,Other,2024-03-29 23:40:53
23,Customer 23,customer23@example.com,520 Phoenix St,2022-08-20 19:24:50,1767,+12656439677,66,Male,2024-06-18 01:43:13
21,Customer 21,customer21@example.com,349 New York St,2023-08-20 23:43:07,2713,+13867302554,47,Male,2024-05-14 11:05:54
58,Customer 58,customer58@example.com,152 Houston St,2023-03-29 10:45:55,1448,+12179653598,41,Male,2024-06-10 06:57:12
61,Customer 61,customer61@example.com,26 Los Angeles St,2023-11-16 14:47:20,2837,+19655291688,44,Other,2024-04-18 01:25:52
30,Customer 30,customer30@example.com,603 Phoenix St,2022-09-20 14:22:18,2346,+14527331058,18,Male,2024-02-02 02:01:36
37,Customer 37,customer37@example.com,474 Los Angeles St,2022-05-23 12:27:53,949,+18198199348,73,Other,2024-04-18 02:06:52
10,Customer 10,customer10@example.com,390 Chicago St,2023-11-05 00:25:34,3933,+19025211183,41,Male,2024-03-13 14:42:02
34,Customer 34,customer34@example.com,100 Seattle St,2022-05-28 21:29:53,3951,+13521696479,44,Female,2024-03-19 07:35:24
76,Customer 76,customer76@example.com,96 Boston St,2023-04-26 23:51:29,2125,+14889635392,32,Male,2024-04-27 02:05:25
55,Customer 55,customer55@example.com,434 Boston St,2022-03-13 16:34:05,2644,+12189351213,39,Male,2024-05-20 03:58:47
29,Customer 29,customer29@example.com,449 Phoenix St,2023-05-20 18:36:18,3874,+12519709079,32,Male,2024-05-03 12:15:56
